rod_id	position	measurement_index	point_index	value
Rod2	endN1	34	6	0.01236
Rod2	endN1	34	7	0.01367
Rod2	endN1	34	8	0.01548
Rod2	endN1	34	9	0.01712
Rod2	endN1	34	10	0.01844
Rod2	endN1	34	11	0.02025
Rod2	endN1	34	12	0.02238
Rod2	endN1	34	13	0.02337
Rod2	endN1	34	14	0.02518
Rod2	endN1	34	15	0.02649
Rod2	endN1	35	0	0.00052
Rod2	endN1	35	1	0.00233
Rod2	endN1	35	2	0.00414
Rod2	endN1	35	3	0.00578
Rod2	endN1	35	4	0.00759
Rod2	endN1	35	5	0.01038
Rod2	endN1	35	6	0.01219
Rod2	endN1	35	7	0.01367
Rod2	endN1	35	8	0.01564
Rod2	endN1	35	9	0.01696
Rod2	endN1	35	10	0.01844
Rod2	endN1	35	11	0.02025
Rod2	endN1	35	12	0.02189
Rod2	endN1	35	13	0.02337
Rod2	endN1	35	14	0.02534
Rod2	endN1	35	15	0.02682
Rod2	endN1	36	0	0.00068
Rod2	endN1	36	1	0.00249
Rod2	endN1	36	2	0.00397
Rod2	endN1	36	3	0.00578
Rod2	endN1	36	4	0.00726
Rod2	endN1	36	5	0.01071
Rod2	endN1	36	6	0.01219
Rod2	endN1	36	7	0.01384
Rod2	endN1	36	8	0.01548
Rod2	endN1	36	9	0.01696
Rod2	endN1	36	10	0.0186
Rod2	endN1	36	11	0.02041
Rod2	endN1	36	12	0.02189
Rod2	endN1	36	13	0.02353
Rod2	endN1	36	14	0.02518
Rod2	endN1	36	15	0.02666
Rod2	endN1	37	0	0.00068
Rod2	endN1	37	1	0.00233
Rod2	endN1	37	2	0.00414
Rod2	endN1	37	3	0.00562
Rod2	endN1	37	4	0.00742
Rod2	endN1	37	5	0.01055
Rod2	endN1	37	6	0.01219
Rod2	endN1	37	7	0.01384
Rod2	endN1	37	8	0.01531
Rod2	endN1	37	9	0.01696
Rod2	endN1	37	10	0.01844
Rod2	endN1	37	11	0.02025
Rod2	endN1	37	12	0.02205
Rod2	endN1	37	13	0.02353
Rod2	endN1	37	14	0.02518
Rod2	endN1	37	15	0.02666
Rod2	endN1	38	0	0.00052
Rod2	endN1	38	1	0.00216
Rod2	endN1	38	2	0.00414
Rod2	endN1	38	3	0.00562
Rod2	endN1	38	4	0.00742
Rod2	endN1	38	5	0.01038
Rod2	endN1	38	6	0.01203
Rod2	endN1	38	7	0.01384
Rod2	endN1	38	8	0.01564
Rod2	endN1	38	9	0.01663
Rod2	endN1	38	10	0.0186
Rod2	endN1	38	11	0.02057
Rod2	endN1	38	12	0.02189
Rod2	endN1	38	13	0.0237
Rod2	endN1	38	14	0.02501
Rod2	endN1	38	15	0.02666
Rod2	endN1	39	0	0.00085
Rod2	endN1	39	1	0.00233
Rod2	endN1	39	2	0.00414
Rod2	endN1	39	3	0.00578
Rod2	endN1	39	4	0.00759
Rod2	endN1	39	5	0.01071
Rod2	endN1	39	6	0.01203
Rod2	endN1	39	7	0.01384
Rod2	endN1	39	8	0.01548
Rod2	endN1	39	9	0.01712
Rod2	endN1	39	10	0.0186
Rod2	endN1	39	11	0.02025
Rod2	endN1	39	12	0.02189
Rod2	endN1	39	13	0.0237
Rod2	endN1	39	14	0.02534
Rod2	endN1	39	15	0.02649
Rod2	endN1	40	0	0.00052
Rod2	endN1	40	1	0.00249
Rod2	endN1	40	2	0.00414
Rod2	endN1	40	3	0.00562
Rod2	endN1	40	4	0.00726
Rod2	endN1	40	5	0.01038
Rod2	endN1	40	6	0.01186
Rod2	endN1	40	7	0.01367
Rod2	endN1	40	8	0.01548
